"business_day","order_count_all","error_count_all","error_rate_all"
2022-11-01,9651,13,0.00134701067246917418
2022-11-02,10082,9,0.00089268002380480063
2022-11-03,10689,8,0.00074843296847226120
2022-11-04,15802,14,0.00088596380205037337
2022-11-05,19352,14,0.00072343943778420835
2022-11-06,11732,13,0.00110808046368905557
2022-11-07,8991,7,0.00077855633411188967
2022-11-08,9870,6,0.00060790273556231003
2022-11-09,10485,11,0.00104911778731521221
2022-11-10,11214,7,0.00062421972534332085
2022-11-11,16943,13,0.00076727852210352358
2022-11-12,19048,17,0.00089248215035699286
2022-11-13,12267,6,0.00048911714355588163
2022-11-14,9249,7,0.00075683857714347497
2022-11-15,10020,9,0.00089820359281437126
2022-11-16,10752,10,0.00093005952380952381
2022-11-17,12271,11,0.00089642245945725695
2022-11-18,17242,20,0.00115995824150330588
2022-11-19,20633,13,0.00063005864391993409
2022-11-20,12517,5,0.00039945673883518415
2022-11-21,9382,7,0.00074610957151993178
2022-11-22,9630,8,0.00083073727933541018
2022-11-23,10743,14,0.00130317415991808620
2022-11-24,13069,7,0.00053561863952865560
2022-11-25,16756,26,0.00155168297923132012
2022-11-26,19991,21,0.00105047271272072433
2022-11-27,12204,6,0.00049164208456243854
2022-11-28,10650,7,0.00065727699530516432
2022-11-29,9546,12,0.00125707102451288498
2022-11-30,9970,6,0.00060180541624874624
